,assists_round,deaths_round,dmg_round,gnd_dmg_round,hs_percentage,impact,kast,kd_ratio,kills_round,maps_played,player_age,player_country,player_id,player_link,player_nick,rating_1,rounds_played,save_team_round,saved_by_round,total_deaths,total_kills
221,0.17,0.80,73.3,3.9,39.2%,0.89,68.7%,0.78,0.62,7,30,Brazil,13167,https://www.hltv.org/stats/players/13167/snp,snp,0.90,201,0.10,0.14,160,125
222,0.00,0.18,4.5,0.0,100.0%,0.35,90.9%,0.25,0.05,1,-,United States,11587,https://www.hltv.org/stats/players/11587/littleman,Littleman,0.92,22,0.00,0.00,4,1
223,0.19,0.65,81.3,4.0,55.6%,1.28,76.5%,1.02,0.66,3,-,Italy,15413,https://www.hltv.org/stats/players/15413/jeyti,Jeyti,1.19,68,0.04,0.16,44,45
224,0.09,0.73,62.2,1.5,27.9%,0.88,63.8%,0.79,0.58,35,30,France,4607,https://www.hltv.org/stats/players/4607/sven1,SVEN1,0.81,889,0.07,0.11,653,519
225,0.08,0.81,-,-,35.1%,-,-,0.50,0.41,4,-,Denmark,8897,https://www.hltv.org/stats/players/8897/rodeo,rodeo,0.57,91,-,-,74,37
226,0.12,0.70,68.3,2.9,36.6%,0.77,64.2%,0.90,0.63,87,29,Russia,1159,https://www.hltv.org/stats/players/1159/tixonsville,tixoNsville,0.90,2199,0.08,0.07,1542,1386
227,0.08,0.74,47.9,0.8,46.9%,0.70,55.1%,0.55,0.41,3,-,Germany,13128,https://www.hltv.org/stats/players/13128/drewin,DrewiN,0.69,78,0.08,0.08,58,32
228,0.17,0.71,85.8,6.2,50.3%,1.06,70.2%,1.04,0.73,22,21,Australia,16479,https://www.hltv.org/stats/players/16479/jabbo,Jabbo,1.10,584,0.09,0.09,413,429
229,0.15,0.76,63.4,3.3,58.8%,0.66,57.3%,0.65,0.50,4,-,Chile,16335,https://www.hltv.org/stats/players/16335/pacem,pacem,0.75,103,0.03,0.12,78,51
230,0.11,0.75,73.9,2.7,51.7%,1.01,65.4%,0.91,0.68,156,28,China,11591,https://www.hltv.org/stats/players/11591/mi5ery,Mi5ERY,0.97,3991,0.09,0.08,2975,2694
